geneNames	s1	s2	s3	s4
ANKRD12	16	9	7	24
ANKRD13A	9	45	2	10
ANKRD13C	10	10	14	5
ANKRD17	24	31	5	7
ANKRD27	1	9	38	26
ANKRD28	30	14	41	48
ANKRD36BP1	6	1	18	15
ANKRD40	6	11	1	8
ANKRD42	5	0	18	16
ANKRD44	2	5	6	2
ANKRD50	12	8	59	1
ANKRD52	6	47	4	8
ANKRD54	3	5	11	18
ANKS6	6	6	5	1
ANLN	0	49	3	8
ANO10	12	17	5	5
ANO6	36	30	25	43
ANP32A	7	15	1	5
ANP32B	25	29	2	10
ANP32E	5	17	13	20
ANPEP	30	81	11	5
ANTXR1	134	38	9	4
ANTXR2	39	22	56	16
ANXA1	88	99	9	4
ANXA11	19	26	11	7
ANXA2	192	549	3	8
ANXA2P2	4	10	11	15
ANXA4	16	12	12	16
ANXA5	200	240	9	5
ANXA6	48	80	6	11
ANXA7	20	22	6	8
AOX1	27	32	0	6
AP1AR	7	1	19	3
AP1B1	6	21	7	3
AP1G1	15	24	6	0
AP1M1	5	10	3	7
AP1S1	5	7	2	10
AP1S2	1	8	13	31
AP2A1	10	27	6	8
AP2A2	6	6	7	7
AP2B1	45	69	7	15
AP2M1	49	106	13	20
AP2S1	5	15	2	7
AP3B1	12	24	11	19
AP3D1	21	25	374	1366
AP3M1	5	12	8	0
AP3S1	21	12	4	8
AP4E1	7	13	8	7
AP4S1	2	6	9	3
AP5B1	1	6	2	5
AP5M1	10	1	11	16
AP5Z1	9	3	34	62
APAF1	2	6	6	11
APBB1	3	8	3	8
APBB1IP	8	18	8	32
APBB2	31	18	9	13
APC	10	22	4	7
APCDD1L	1	5	4	7
APEH	7	14	1	80
APEX1	28	15	18	6
APH1A	16	14	13	13
API5	20	14	2	9
APLP2	82	156	6	14
APMAP	15	34	3	10
APOA1BP	7	7	368	26
APOBEC3C	5	7	7	13
APOD	13	0	7	9
APOL1	11	4	12	12
APOL2	9	6	13	19
APOL6	7	6	3	17
APOOL	7	5	2	7
APP	247	179	11	13
APPBP2	12	10	27	53
APPL1	5	14	22	24
APPL2	11	20	6	3
APRT	6	3	9	1
APTX	4	6	11	2
AQR	8	12	5	2
ARAF	6	11	1	7
ARAP1	12	3	6	1
ARCN1	33	62	11	4
AREL1	10	10	3	8
ARF1	33	56	7	31
ARF3	25	38	11	3
ARF4	45	71	30	81
ARF5	11	10	3	10
ARF6	10	24	21	27
ARFGAP1	6	17	16	12
ARFGAP2	4	11	200	240
ARFGAP3	12	11	27	32
ARFGEF1	16	17	1	6
ARFGEF2	19	15	1	7
ARFIP1	10	4	7	8
ARFIP2	6	5	8	6
ARGLU1	19	8	5	0
ARHGAP1	23	18	1	5
ARHGAP10	5	8	8	4
ARHGAP11A	1	13	4	15
ARHGAP12	6	8	16	10
ARHGAP17	6	13	5	6
ARHGAP18	5	12	11	29
ARHGAP21	50	32	8	12
ARHGAP22	3	11	5	0
ARHGAP23	10	13	66	49
ARHGAP24	15	6	146	149
ARHGAP29	14	40	10	5
ARHGAP31	17	16	69	46
ARHGAP32	8	4	42	45
ARHGAP35	28	49	2	5
ARHGAP5	18	16	1	12
ARHGDIA	14	51	5	0
ARHGEF1	9	4	10	13
ARHGEF10	5	11	25	24
ARHGEF10L	7	9	23	10
ARHGEF11	12	12	0	9
ARHGEF12	38	41	8	10
ARHGEF17	20	27	1	13
ARHGEF18	3	14	7	4
ARHGEF2	15	19	14	16
ARHGEF28	9	14	0	8
ARHGEF3	6	2	40	36
ARHGEF40	15	12	26	39
ARHGEF6	7	6	0	5
ARHGEF7	12	8	2	8
ARHGEF9	5	2	6	6
ARID1A	10	16	6	6
ARID1B	7	4	18	13
ARID2	4	7	6	2
ARID4B	13	9	5	7
ARID5B	24	24	51	20
ARIH1	19	13	9	0
ARIH2	8	13	0	14
ARL1	10	18	6	10
ARL14EP	7	2	2	5
ARL16	5	5	7	7
ARL2BP	7	10	5	7
ARL3	4	8	21	12
ARL4A	10	3	1	6
ARL4C	13	0	5	1
ARL5A	7	4	9	6
ARL6IP1	15	30	2	11
ARL6IP4	5	8	12	11
ARL6IP5	52	21	8	5
ARL8A	6	3	3	6
ARL8B	15	10	13	1
ARMC1	4	9	28	43
ARMC10	8	5	26	16
ARMC9	29	7	9	9
ARMCX1	14	3	26	10
ARMCX2	9	19	16	23
ARMCX3	22	14	6	8
ARMCX6	7	7	16	9
ARNT	29	12	111	268
ARNT2	15	10	8	7
ARNTL2	5	18	4	8
ARPC1A	7	28	2182	1817
ARPC1B	7	19	169	145
ARPC2	31	70	1	27
ARPC3	32	29	11	14
ARPC4	9	12	7	12
ARPC5	27	54	37	29
ARPC5L	6	10	13	9
ARPIN	7	5	64	32
ARPP19	22	32	13	7
ARRDC2	6	0	21	13
ARRDC3	5	7	36	66
ARSA	2	8	22	12
ARSB	7	12	50	33
ARSD	5	7	4	5
ARSJ	0	23	5	4
ARV1	5	3	1	5
ASAH1	63	13	8	14
ASAP1	14	37	13	27
ASAP2	12	18	7	11
ASAP3	33	1	40	62
ASB1	7	16	0	6
ASB8	4	7	15	24
ASCC1	3	5	25	30
ASCC2	7	11	27	44
ASCC3	22	42	1	12
ASH1L	16	28	16	10
ASH2L	7	6	142	227
ASL	4	7	140	80
ASMTL	5	1	44	223
ASNA1	14	7	41	28
ASNS	26	11	19	25
ASNSD1	10	12	75	24
ASPH	90	141	25	24
ASPM	1	21	5	4
ASPN	73	0	6	8
ASS1	10	0	14	25
ASUN	4	6	468	664
ASXL1	26	33	23	18
ASXL2	4	9	15	9
ATAD1	13	14	15	57
ATAD2	2	8	63	37
ATE1	7	3	7	14
ATF1	8	2	13	0
ATF2	7	9	0	5
ATF4	100	44	3	6
ATF6	15	16	25	38
ATF6B	15	15	45	71
ATF7	13	5	11	10
ATF7IP	17	7	10	24
ATG12	14	11	73	155
ATG13	15	11	3	7
ATG14	6	5	5	7
ATG16L1	2	8	22	8
ATG2B	19	15	30	20
ATG3	6	7	61	105
ATG4A	1	6	17	19
ATG4B	5	9	23	30
ATG5	5	9	20	24
ATG9A	9	13	25	12
ATIC	5	16	19	15
ATL2	7	5	5	2
ATL3	31	36	376	68
ATM	30	19	3	5
ATMIN	13	15	24	7
ATN1	19	26	205	17
ATOH8	2	8	62	117
ATOX1	4	6	8	2
ATP10A	7	15	2	8
ATP10D	18	30	9	10
ATP11A	3	8	2	6
ATP11B	20	17	5	3
ATP11C	14	20	18	72
ATP13A1	5	5	0	9
ATP13A2	1	11	213	32
ATP13A3	15	96	3	9
ATP1A1	73	76	6	4
ATP1B1	22	8	10	17
ATP1B3	30	20	5	2
ATP2A2	39	86	1	6
ATP2B1	26	21	7	19
ATP2B4	26	156	3	11
ATP2C1	28	43	44	273
ATP5A1	67	59	81	217
ATP5B	61	105	253	171
ATP5C1	18	23	84	31
ATP5E	14	19	8	3
ATP5F1	17	19	45	13
ATP5G1	5	7	10	6
ATP5G2	19	17	18	21
ATP5G3	12	14	12	4
ATP5H	11	17	11	9
ATP5I	3	15	9	8
ATP5J	5	13	18	22
ATP5J2	8	11	5	7
ATP5L	12	6	2	9
ATP5O	19	15	7	35
ATP5SL	5	4	65	231
ATP6AP1	11	29	6	4
ATP6AP2	34	28	116	46
ATP6V0A1	5	6	2	6
ATP6V0A2	6	6	8	2
ATP6V0B	8	6	63	2
ATP6V0C	5	19	58	56
ATP6V0D1	9	18	5	4
ATP6V0E1	44	39	8	1
ATP6V1A	23	30	99	0
ATP6V1B2	20	24	5	16
ATP6V1C1	25	12	4	7
ATP6V1D	10	14	5	5
ATP6V1E1	10	14	372	240
ATP6V1F	10	6	8	29
ATP6V1G1	11	4	59	47
ATP6V1H	7	6	13	6
ATP7A	8	5	9	4
ATP8B1	1	60	0	7
ATP8B2	13	24	28	17
ATP8B4	6	0	6	2
ATP9A	11	14	8	5
ATPAF1	5	6	78	10
ATPIF1	8	8	14	1
ATR	8	12	18	16
ATRAID	12	2	7	26
ATRN	19	20	4	96
ATRX	27	16	41	6
ATXN1	14	17	6	9
ATXN10	20	42	1	13
ATXN1L	11	13	12	0
ATXN2	12	12	0	66
ATXN2L	15	17	704	338
ATXN7	9	2	21	6
ATXN7L3	12	10	8	0
ATXN7L3B	13	19	47	62
AUP1	27	13	22	0
AURKA	1	12	6	18
AVEN	6	1	7	12
AVL9	11	15	3	12
AXIN1	5	3	3	10
AXL	17	213	17	30
AZI2	27	8	89	47
AZIN1	21	32	5	4
AZIN2	5	0	7	6
B2M	495	205	5	68
B3GALT6	5	4	63	27
B3GAT3	2	5	12	12
B3GNT9	5	6	13	13
B4GALT1	40	62	0	5
B4GALT2	2	15	13	37
B4GALT4	3	8	10	15
B4GALT5	20	14	7	4
B4GALT7	3	5	46	59
B4GAT1	5	1	13	9
BAALC	18	1	34	42
BACE1	39	27	5	13
BACE2	7	1	3	5
BACH1	8	26	233	136
BAD	2	5	5	7
BAG1	5	6	9	29
BAG2	5	4	2	14
BAG3	11	16	11	23
BAG4	4	8	5	8
BAG5	5	14	1	8
BAG6	21	28	72	267
BAHCC1	5	1	175	63
BAIAP2L1	2	9	5	0
BAMBI	3	11	12	14
BANF1	11	17	16	18
BAP1	9	6	42	42
BASP1	39	40	8	18
BAX	3	6	6	16
BAZ1A	6	14	1	5
BAZ1B	31	24	6	44
BAZ2A	13	12	16	9
BAZ2B	8	7	14	29
BBS1	9	1	69	85
BBS2	3	6	280	102
BBS4	5	1	47	72
BBS7	3	6	218	374
BBS9	6	4	19	8
BBX	12	22	3	11
BCAP29	17	11	6	4
BCAP31	13	31	87	179
BCAR1	8	12	6	24
BCAR3	3	15	16	235
BCAS2	7	4	540	282
BCAT1	50	53	12	21
BCCIP	5	7	6	3
BCHE	37	4	737	40
BCKDK	5	6	2	6
BCL10	2	6	84	86
BCL2L1	10	12	0	5
BCL2L13	8	13	0	6
BCL2L2	7	13	6	2
BCL6	20	3	32	35
BCL7B	5	9	48	102
BCL9	2	6	5	7
BCL9L	6	20	8	0
BCLAF1	22	31	9	13
BCOR	1	10	9	10
BCORL1	2	7	6	17
BCR	4	10	2	5
BDH2	11	6	6	0
BDNF	2	30	44	0
BDP1	7	10	10	15
BECN1	5	13	4	5
BET1L	10	10	80	201
BEX1	0	33	8	5
BFAR	17	9	10	6
BGN	376	68	372	847
BHLHE40	21	22	10	15
BHLHE41	12	3	11	14
BICC1	56	16	16	19
BICD2	2	16	5	9
BIN1	6	5	0	6
BIN3	5	0	61	21
BIRC2	17	25	5	8
BIRC5	0	8	10	7
BIRC6	27	39	10	18
BIVM	5	0	0	9
BLCAP	5	14	4	6
BLMH	5	6	3	6
BLOC1S2	3	8	2	28
BLOC1S6	19	10	3	11
BLVRB	3	5	18	14
BLZF1	2	7	25	30
BMF	10	0	160	179
BMP1	21	23	15	23
BMP2K	5	5	6	75
BMPER	15	5	7	11
BMPR1A	6	4	5	7
BMPR2	25	24	92	21
BMS1	7	13	295	35
BNC2	30	18	86	0
BNIP2	11	10	5	2
BNIP3	5	21	13	7
BNIP3L	38	26	15	13
BOD1	11	4	25	75
BOD1L1	21	17	30	51
BOK	3	5	14	14
BPHL	11	0	10	6
BPTF	16	13	14	18
BRAP	6	4	17	18
BRCA1	1	5	12	11
BRD1	7	3	14	6
BRD2	21	32	11	15
BRD3	6	5	7	24
BRD4	8	9	9	10
BRD7	7	2	6	33
BRD8	8	10	33	50
BRD9	5	1	10	10
BRI3	17	13	8	10
BRINP1	5	0	16	34
BRIP1	1	9	11	28
BRIX1	3	7	3	13
BRK1	19	22	2	25
BROX	7	8	7	3
BRPF3	6	5	222	22
BRWD1	15	12	1	5
BRWD3	2	9	14	13
BSDC1	13	12	13	18
BSG	47	34	9	17
BST1	2	18	18	25
BTAF1	14	6	6	13
BTBD1	14	18	7	20
BTBD10	1	10	10	18
BTBD2	9	11	18	23
BTBD3	2	11	9	14
BTBD6	4	6	4	8
BTBD7	7	14	14	25
BTF3	45	55	8	14
BTF3L4	14	12	11	20
BTG1	24	7	14	11
BTN2A1	3	10	1	5
BTN3A1	6	4	2	6
BTN3A2	11	4	2	18
BTN3A3	6	2	19	47
BUB1	0	6	4	10
BUB1B	0	9	6	15
BUB3	18	33	6	11
BUD31	6	6	26	44
BVES	5	7	23	12
BYSL	1	6	0	23
BZW1	44	101	120	130
BZW2	6	19	10	6
C10orf10	58	5	19	24
C10orf32	5	3	7	63
C10orf54	1	17	0	5
C10orf76	5	4	16	17
C11orf24	4	12	6	14
C11orf30	4	6	13	12
C11orf31	3	5	7	0
C11orf57	8	5	15	21
C11orf58	35	30	115	101
C11orf68	7	10	6	5
C11orf73	5	5	5	5
C11orf87	0	7	3	8
C11orf95	9	1	15	15
C12orf10	3	5	5	5
C12orf4	1	5	29	43
C12orf49	7	3	5	7
C12orf5	5	5	149	92
C12orf57	8	5	3	8
C12orf75	7	31	16	19
C14orf1	6	3	12	12
C14orf119	14	14	2	8
C14orf132	18	26	8	17
C14orf159	5	4	6	7
C14orf166	18	7	25	25
C14orf2	5	6	26	55
C15orf39	7	0	4	7
C15orf52	10	16	5	0
C16orf13	1	6	46	29
C16orf45	4	5	1	8
C16orf58	10	15	15	13
C16orf62	13	10	1	5
C16orf72	7	15	12	43
C17orf62	7	7	16	15
C17orf70	3	6	5	2
C17orf80	7	4	19	13
C17orf85	9	13	26	25
C18orf21	5	2	6	20
C18orf25	3	6	9	35
C18orf8	8	4	6	6
C19orf12	6	4	5	1
C19orf43	7	8	23	2
C19orf53	4	8	4	5
C1GALT1	13	12	7	33
C1GALT1C1	4	5	902	1268
C1QBP	8	10	1	6
C1R	205	17	10	22
C1RL	21	9	10	7
C1RL-AS1	7	2	4	13
C1S	226	18	6	2
C1orf109	6	1	25	27
C1orf123	5	3	23	21
C1orf198	19	45	13	9
C1orf21	2	6	26	27
C1orf27	2	5	8	8
C1orf43	28	25	11	6
C21orf33	6	8	5	6
C21orf59	6	4	48	78
C21orf91	5	1	4	8
C22orf29	0	7	4	10
C2CD2	8	10	583	2542
C2CD5	9	4	495	117
C2orf43	6	2	3	7
C2orf49	4	6	90	23
C2orf68	2	7	350	120
C2orf69	3	9	0	17
C3	71	8	27	29
C3orf17	13	8	7	1
C3orf18	5	1	8	14
C4orf3	25	23	1	5
C5orf15	20	13	17	19
C5orf22	2	8	2	10
C5orf24	8	23	13	8
C5orf30	8	16	35	32
C5orf42	14	6	72	310
C5orf51	11	8	5	11
C6orf106	14	8	14	23
C6orf120	13	9	5	5
C6orf211	4	11	18	11
C6orf47	5	2	2	5
C6orf48	11	14	11	33
C6orf62	28	29	18	6
C6orf89	23	28	10	10
C7orf50	1	5	7	9
C7orf60	9	7	6	8
C7orf73	7	13	3	9
C8orf33	10	4	8	11
C9orf3	2	7	10	35
C9orf64	6	3	15	16
C9orf78	9	3	17	19
CA12	42	27	5	7
CAB39	10	14	8	22
CAB39L	6	2	813	820
CABIN1	15	8	0	6
CACNA1C	12	5	27	31
CACNA2D1	10	28	8	12
CACTIN	5	0	10	33
CACUL1	8	9	2	5
CACYBP	5	10	6	0
CAD	15	14	27	40
CADM3	71	5	7	0
CADPS2	9	1	11	5
CALCOCO1	26	22	6	22
CALCOCO2	35	14	5	20
CALD1	248	764	14	16
CALHM2	5	6	16	5
CALM1	20	59	7	12
CALM2	62	117	1	5
CALM3	20	48	9	18
CALR	95	287	6	5
CALU	224	365	36	21
CAMK2D	33	23	20	11
CAMK2G	4	7	8	9
CAMK2N1	7	0	2	6
CAMKK2	9	9	27	3
CAMLG	8	2	29	20
CAMSAP1	4	8	6	10
CAMSAP2	19	14	5	2
CAMTA2	7	15	14	17
CAND1	18	29	5	10
CANT1	8	12	8	17
CANX	146	184	17	13
CAP1	72	135	2	7
CAP2	2	14	21	22
CAPG	10	9	22	25
CAPN1	14	32	9	17
CAPN10	0	5	28	30
CAPN2	72	152	11	19
CAPN5	3	5	9	13
CAPN7	8	8	5	3
CAPNS1	23	51	26	34
CAPRIN1	49	60	23	171
CAPRIN2	10	9	2	7
CAPZA1	19	33	17	13
CAPZA2	28	22	12	3
CAPZB	48	58	90	78
CARD10	0	7	42	24
CARD6	6	3	38	22
CARF	5	2	19	11
CARHSP1	15	6	30	19
CARKD	10	5	14	34
CARM1	8	8	5	13
CARS	14	21	9	10
CARS2	8	7	9	6
CASC3	7	9	39	27
CASC4	28	26	12	7
CASC5	0	11	6	10
CASD1	3	6	5	13
CASK	10	7	5	11
CASP2	2	6	3	5
CASP3	6	5	11	8
CASP4	14	5	7	7
CASP7	8	5	2	5
CASP8	2	6	13	11
CASP8AP2	4	8	7	21
CAST	57	46	5	6
CAT	9	10	14	8
CAV1	70	400	7	7
CAV2	10	61	26	7
CBFA2T2	5	3	1	6
CBFB	5	12	2	7
CBL	10	9	63	103
CBLB	5	5	13	15
CBLL1	9	3	4	10
CBR1	9	9	39	0
CBS	15	10	7	4
CBX1	17	16	5	5
CBX3	29	23	0	15
CBX5	17	35	6	2
CBX6	21	18	9	14
CBX7	5	2	3	15
CBY1	7	3	19	18
CC2D1A	7	2	5	9
CC2D1B	9	5	26	35
CC2D2A	9	4	27	10
CCAR1	19	23	6	6
CCAR2	8	17	15	15
CCBE1	13	63	3	8
CCBL2	7	5	2	6
CCDC115	8	3	18	14
CCDC122	5	0	10	14
CCDC127	9	5	14	11
CCDC132	5	2	8	9
CCDC137	2	5	10	8
CCDC14	17	7	44	39
CCDC144B	13	9	5	4
CCDC186	5	2	43	25
CCDC25	7	7	4	7
CCDC28A	5	3	14	6
CCDC43	9	9	0	12
CCDC47	13	19	6	5
CCDC50	16	30	63	38
CCDC6	16	20	4	6
CCDC68	6	0	2	35
CCDC71L	7	9	5	16
CCDC80	224	394	4	6
CCDC82	9	7	495	205
CCDC85B	2	5	5	21
CCDC85C	1	7	1	6
CCDC88A	10	29	3	5
CCDC9	2	5	7	4
CCDC92	6	11	3	11
CCDC93	16	6	5	8
CCDC97	5	2	20	30
CCL2	6	7	6	1
CCM2	2	8	11	7
CCNA2	1	13	3	14
CCNB1	0	18	14	9
CCNB1IP1	6	6	13	12
CCNB2	0	6	5	3
CCNC	6	12	27	16
CCND1	20	109	42	36
CCNDBP1	6	3	1	5
CCNG1	39	20	19	5
CCNG2	20	5	16	21
CCNH	3	6	10	8
CCNI	36	43	3	11
CCNK	2	10	49	37
CCNL1	18	12	14	14
CCNL2	22	18	8	8
CCNT1	7	9	5	3
CCNT2	7	10	7	0
CCNY	28	21	7	6
CCPG1	12	6	9	7
CCS	5	1	15	17
CCSAP	3	5	17	2
CCSER2	17	17	3	12
CCT2	15	24	2	13
CCT3	28	40	4	10
CCT4	32	29	25	9
CCT5	17	43	16	14
CCT6A	23	34	9	12
CCT7	27	39	4	7
CCT8	33	32	17	22
CD109	59	22	5	3
CD151	43	78	8	6
CD164	71	59	5	3
CD24	0	88	26	29
CD248	21	11	12	8
CD27-AS1	4	7	11	16
CD274	0	5	5	4
CD276	26	12	12	5
CD2AP	4	9	2	5
CD2BP2	10	7	0	6
CD44	69	144	23	18
CD46	35	43	4	8
CD47	25	20	14	7
CD55	15	16	2	6
CD59	83	187	6	4
CD63	190	113	11	10
CD68	10	11	38	26
CD81	31	41	2	18
CD82	13	4	10	14
CD97	8	12	15	14
CD99	56	47	95	287
CD99L2	20	15	8	4
CDAN1	7	1	20	5
CDC123	5	13	6	1
CDC14B	6	6	68	59
CDC16	14	13	5	8
CDC20	0	8	7	5
CDC25B	8	12	3	5
CDC26	2	8	1	5
CDC27	8	31	157	91
CDC37	14	23	2	5
CDC37L1	4	10	7	26
CDC42	37	48	5	43
CDC42BPA	38	18	2	7
CDC42BPB	23	34	5	4
CDC42EP1	2	8	11	1
CDC42EP2	0	5	27	18
CDC42EP3	24	77	6	5
CDC42SE1	9	17	2	20
CDC42SE2	6	5	6	2
CDC5L	14	16	5	7
CDC73	10	13	52	59
CDCA2	1	6	34	32
CDCA7L	1	7	11	12
CDH11	213	32	5	10
CDH13	6	50	1	5
CDH18	0	7	10	0
CDH2	18	72	6	2
CDH6	0	21	2	7
CDH8	0	9	11	13
CDIPT	15	15	5	5
CDK1	0	9	3	11
CDK11B	3	5	15	16
CDK12	16	17	7	5
CDK13	8	15	28	49
CDK14	6	7	5	3
CDK16	13	17	10	12
CDK17	22	3	3	9
CDK19	7	14	25	71
CDK2	0	11	0	11
CDK2AP1	20	33	10	10
CDK4	34	18	31	9
CDK5RAP2	24	21	7	6
CDK5RAP3	23	10	31	40
CDK6	7	18	5	5
CDK7	3	9	10	6
CDK8	2	8	2	12
CDK9	6	6	6	4
CDKN1A	31	84	64	81
CDKN1B	7	4	1	6
