gene	drug	Cor	corMean	corSd	zVal	pValue
BRAF	186	0.22	0.035950943	0.171926587	1.070509568	0.284390004
BRAF	1175	0.22	0.035950943	0.171926587	1.070509568	0.284390004
BRAF	158	0.218	0.035950943	0.171926587	1.058876696	0.289655939
BRAF	202	0.214	0.035950943	0.171926587	1.035610952	0.30038368
BRAF	1057	0.214	0.035950943	0.171926587	1.035610952	0.30038368
BRAF	256	-0.142	0.035950943	0.171926587	-1.035040283	0.300650099
BRAF	59	0.211	0.035950943	0.171926587	1.018161644	0.308601144
BRAF	11	0.211	0.035950943	0.171926587	1.018161644	0.308601144
BRAF	184	0.211	0.035950943	0.171926587	1.018161644	0.308601144
BRAF	172	0.206	0.035950943	0.171926587	0.989079464	0.322624264
BRAF	1010	-0.133	0.035950943	0.171926587	-0.982692358	0.325758873
BRAF	1378	0.202	0.035950943	0.171926587	0.965813719	0.334137402
BRAF	1003	0.201	0.035950943	0.171926587	0.959997283	0.337056582
BRAF	261	-0.129	0.035950943	0.171926587	-0.959426614	0.337343873
BRAF	1149	0.197	0.035950943	0.171926587	0.936731539	0.348896669
BRAF	147	0.195	0.035950943	0.171926587	0.925098667	0.354914586
BRAF	87	0.195	0.035950943	0.171926587	0.925098667	0.354914586
BRAF	163	0.195	0.035950943	0.171926587	0.925098667	0.354914586
BRAF	255	-0.123	0.035950943	0.171926587	-0.924527998	0.355211481
BRAF	135	0.194	0.035950943	0.171926587	0.919282231	0.35794797
BRAF	133	0.193	0.035950943	0.171926587	0.913465795	0.360997615
BRAF	30	-0.12	0.035950943	0.171926587	-0.90707869	0.364365186
BRAF	1024	0.191	0.035950943	0.171926587	0.901832923	0.367145628
BRAF	266	-0.119	0.035950943	0.171926587	-0.901262254	0.367448898
BRAF	1377	-0.119	0.035950943	0.171926587	-0.901262254	0.367448898
BRAF	110	-0.117	0.035950943	0.171926587	-0.889629381	0.373664924
BRAF	328	-0.116	0.035950943	0.171926587	-0.883812945	0.376797197
BRAF	6	0.187	0.035950943	0.171926587	0.878567179	0.379635998
BRAF	299	-0.114	0.035950943	0.171926587	-0.872180073	0.383110148
BRAF	1375	0.185	0.035950943	0.171926587	0.866934306	0.385978005
BRAF	1025	0.183	0.035950943	0.171926587	0.855301434	0.392384294
BRAF	245	-0.107	0.035950943	0.171926587	-0.831465021	0.405710981
BRAF	1072	-0.107	0.035950943	0.171926587	-0.831465021	0.405710981
BRAF	1161	0.176	0.035950943	0.171926587	0.814586382	0.415309108
BRAF	1018	-0.104	0.035950943	0.171926587	-0.814015713	0.41563595
BRAF	344	-0.103	0.035950943	0.171926587	-0.808199277	0.418975874
BRAF	1053	-0.103	0.035950943	0.171926587	-0.808199277	0.418975874
BRAF	1239	0.172	0.035950943	0.171926587	0.791320638	0.428756908
BRAF	1019	-0.1	0.035950943	0.171926587	-0.790749969	0.429089911
BRAF	34	0.171	0.035950943	0.171926587	0.785504202	0.432158008
BRAF	201	0.171	0.035950943	0.171926587	0.785504202	0.432158008
BRAF	1021	-0.097	0.035950943	0.171926587	-0.77330066	0.439344465
BRAF	263	-0.096	0.035950943	0.171926587	-0.767484224	0.442793669
BRAF	1007	0.165	0.035950943	0.171926587	0.750605585	0.452890059
BRAF	1243	0.165	0.035950943	0.171926587	0.750605585	0.452890059
BRAF	1030	0.164	0.035950943	0.171926587	0.744789149	0.456399195
BRAF	1069	-0.092	0.035950943	0.171926587	-0.74421848	0.45674431
BRAF	37	-0.09	0.035950943	0.171926587	-0.732585608	0.463811212
BRAF	308	-0.089	0.035950943	0.171926587	-0.726769172	0.467367371
BRAF	71	-0.089	0.035950943	0.171926587	-0.726769172	0.467367371
BRAF	64	-0.087	0.035950943	0.171926587	-0.7151363	0.474524826
BRAF	1039	0.157	0.035950943	0.171926587	0.704074097	0.48138663
BRAF	275	-0.085	0.035950943	0.171926587	-0.703503428	0.481742071
BRAF	1218	-0.083	0.035950943	0.171926587	-0.691870556	0.489018623
BRAF	91	0.154	0.035950943	0.171926587	0.686624789	0.492319203
BRAF	341	0.154	0.035950943	0.171926587	0.686624789	0.492319203
BRAF	5	0.153	0.035950943	0.171926587	0.680808353	0.495992764
BRAF	1264	0.153	0.035950943	0.171926587	0.680808353	0.495992764
BRAF	185	0.152	0.035950943	0.171926587	0.674991917	0.499680901
BRAF	41	0.151	0.035950943	0.171926587	0.669175481	0.503383545
BRAF	1203	0.15	0.035950943	0.171926587	0.663359045	0.507100629
BRAF	1038	0.148	0.035950943	0.171926587	0.651726173	0.514577835
BRAF	1047	0.148	0.035950943	0.171926587	0.651726173	0.514577835
BRAF	260	-0.076	0.035950943	0.171926587	-0.651155503	0.514946111
BRAF	257	-0.073	0.035950943	0.171926587	-0.633706195	0.526272581
BRAF	1067	-0.073	0.035950943	0.171926587	-0.633706195	0.526272581
BRAF	106	-0.073	0.035950943	0.171926587	-0.633706195	0.526272581
BRAF	1241	0.141	0.035950943	0.171926587	0.61101112	0.541192219
BRAF	1142	-0.069	0.035950943	0.171926587	-0.610440451	0.541570079
BRAF	62	0.138	0.035950943	0.171926587	0.593561812	0.552805229
BRAF	1009	-0.065	0.035950943	0.171926587	-0.587174707	0.557086378
BRAF	151	0.135	0.035950943	0.171926587	0.576112504	0.56453914
BRAF	1022	-0.063	0.035950943	0.171926587	-0.575541835	0.564924906
BRAF	1049	-0.061	0.035950943	0.171926587	-0.563908963	0.57281609
BRAF	230	0.132	0.035950943	0.171926587	0.558663196	0.576391602
BRAF	190	0.132	0.035950943	0.171926587	0.558663196	0.576391602
BRAF	166	0.131	0.035950943	0.171926587	0.55284676	0.580368347
BRAF	305	-0.059	0.035950943	0.171926587	-0.55227609	0.580759209
BRAF	1014	0.13	0.035950943	0.171926587	0.547030324	0.584357899
BRAF	1143	0.129	0.035950943	0.171926587	0.541213888	0.588360166
BRAF	192	0.128	0.035950943	0.171926587	0.535397451	0.592375052
BRAF	1015	-0.053	0.035950943	0.171926587	-0.517377474	0.604892681
BRAF	200	0.124	0.035950943	0.171926587	0.512131707	0.608558835
BRAF	1004	0.124	0.035950943	0.171926587	0.512131707	0.608558835
BRAF	298	0.124	0.035950943	0.171926587	0.512131707	0.608558835
BRAF	271	-0.052	0.035950943	0.171926587	-0.511561038	0.60895826
BRAF	265	-0.051	0.035950943	0.171926587	-0.505744602	0.613035953
BRAF	1502	0.122	0.035950943	0.171926587	0.500498835	0.616723876
BRAF	119	0.122	0.035950943	0.171926587	0.500498835	0.616723876
BRAF	290	-0.049	0.035950943	0.171926587	-0.49411173	0.621227274
BRAF	136	0.12	0.035950943	0.171926587	0.488865963	0.624936594
BRAF	1164	0.12	0.035950943	0.171926587	0.488865963	0.624936594
BRAF	231	-0.047	0.035950943	0.171926587	-0.482478858	0.629465814
BRAF	1020	-0.046	0.035950943	0.171926587	-0.476662422	0.633602526
BRAF	268	-0.044	0.035950943	0.171926587	-0.46502955	0.641910296
BRAF	287	-0.043	0.035950943	0.171926587	-0.459213114	0.646081134
BRAF	1052	0.114	0.035950943	0.171926587	0.453967347	0.649852329
BRAF	63	0.114	0.035950943	0.171926587	0.453967347	0.649852329
BRAF	35	0.114	0.035950943	0.171926587	0.453967347	0.649852329
BRAF	94	-0.042	0.035950943	0.171926587	-0.453396678	0.650263128
BRAF	304	-0.041	0.035950943	0.171926587	-0.447580241	0.654456166
BRAF	1166	0.112	0.035950943	0.171926587	0.442334475	0.658247188
BRAF	171	-0.039	0.035950943	0.171926587	-0.435947369	0.662874916
BRAF	286	-0.038	0.035950943	0.171926587	-0.430130933	0.667100399
BRAF	180	0.109	0.035950943	0.171926587	0.424885166	0.670920389
BRAF	111	0.109	0.035950943	0.171926587	0.424885166	0.670920389
BRAF	1261	0.108	0.035950943	0.171926587	0.41906873	0.675165903
BRAF	269	0.108	0.035950943	0.171926587	0.41906873	0.675165903
BRAF	1029	0.106	0.035950943	0.171926587	0.407435858	0.683687895
BRAF	1194	-0.034	0.035950943	0.171926587	-0.406865189	0.684107005
BRAF	1248	0.104	0.035950943	0.171926587	0.395802986	0.692250374
BRAF	1062	0.104	0.035950943	0.171926587	0.395802986	0.692250374
BRAF	56	0.102	0.035950943	0.171926587	0.384170114	0.700852367
BRAF	300	0.102	0.035950943	0.171926587	0.384170114	0.700852367
BRAF	29	0.101	0.035950943	0.171926587	0.378353678	0.705167875
BRAF	1026	-0.029	0.035950943	0.171926587	-0.377783009	0.705591797
BRAF	1016	-0.029	0.035950943	0.171926587	-0.377783009	0.705591797
BRAF	1526	-0.026	0.035950943	0.171926587	-0.360333701	0.7185976
BRAF	1036	0.097	0.035950943	0.171926587	0.355087934	0.722523716
BRAF	258	-0.025	0.035950943	0.171926587	-0.354517265	0.722951268
BRAF	104	0.096	0.035950943	0.171926587	0.349271498	0.726885494
BRAF	206	-0.024	0.035950943	0.171926587	-0.348700829	0.727313922
BRAF	226	-0.021	0.035950943	0.171926587	-0.33125152	0.740454507
BRAF	173	0.091	0.035950943	0.171926587	0.320189318	0.748824821
BRAF	1498	0.091	0.035950943	0.171926587	0.320189318	0.748824821
BRAF	140	0.091	0.035950943	0.171926587	0.320189318	0.748824821
BRAF	309	-0.018	0.035950943	0.171926587	-0.313802212	0.753671264
BRAF	1170	0.089	0.035950943	0.171926587	0.308556445	0.757658957
BRAF	196	0.088	0.035950943	0.171926587	0.302740009	0.762088005
BRAF	291	-0.015	0.035950943	0.171926587	-0.296352904	0.766960588
BRAF	55	0.086	0.035950943	0.171926587	0.291107137	0.770969381
BRAF	197	0.085	0.035950943	0.171926587	0.285290701	0.775421436
BRAF	1268	0.083	0.035950943	0.171926587	0.273657829	0.784347588
BRAF	1066	-0.011	0.035950943	0.171926587	-0.27308716	0.784786217
BRAF	1371	0.079	0.035950943	0.171926587	0.250392085	0.80228415
BRAF	1042	0.075	0.035950943	0.171926587	0.227126341	0.820325502
BRAF	1023	-0.003	0.035950943	0.171926587	-0.226555671	0.820769265
BRAF	282	-0.002	0.035950943	0.171926587	-0.220739235	0.825295479
BRAF	45	0.071	0.035950943	0.171926587	0.203860596	0.838462438
BRAF	288	0.071	0.035950943	0.171926587	0.203860596	0.838462438
BRAF	1527	0.001	0.035950943	0.171926587	-0.203289927	0.838908428
BRAF	170	0.07	0.035950943	0.171926587	0.19804416	0.843010513
BRAF	179	0.002	0.035950943	0.171926587	-0.197473491	0.843457024
BRAF	157	0.002	0.035950943	0.171926587	-0.197473491	0.843457024
BRAF	51	0.069	0.035950943	0.171926587	0.192227724	0.84756383
BRAF	249	0.003	0.035950943	0.171926587	-0.191657055	0.848010847
BRAF	1005	0.068	0.035950943	0.171926587	0.186411288	0.852122241
BRAF	1017	0.068	0.035950943	0.171926587	0.186411288	0.852122241
BRAF	1043	0.068	0.035950943	0.171926587	0.186411288	0.852122241
BRAF	1372	0.004	0.035950943	0.171926587	-0.185840619	0.85256975
BRAF	281	0.005	0.035950943	0.171926587	-0.180024183	0.857133583
BRAF	205	0.005	0.035950943	0.171926587	-0.180024183	0.857133583
BRAF	150	0.066	0.035950943	0.171926587	0.174778416	0.861253749
BRAF	253	0.006	0.035950943	0.171926587	-0.174207747	0.861702197
BRAF	175	0.008	0.035950943	0.171926587	-0.162574875	0.870853171
BRAF	1199	0.062	0.035950943	0.171926587	0.151512672	0.879571315
BRAF	1158	0.062	0.035950943	0.171926587	0.151512672	0.879571315
BRAF	1	0.062	0.035950943	0.171926587	0.151512672	0.879571315
BRAF	154	0.014	0.035950943	0.171926587	-0.127676259	0.898405179
BRAF	1262	0.015	0.035950943	0.171926587	-0.121859823	0.903010035
BRAF	165	0.016	0.035950943	0.171926587	-0.116043386	0.907618157
BRAF	88	0.055	0.035950943	0.171926587	0.11079762	0.911776833
BRAF	1060	0.017	0.035950943	0.171926587	-0.11022695	0.912229389
BRAF	1061	0.054	0.035950943	0.171926587	0.104981184	0.91639074
BRAF	156	0.019	0.035950943	0.171926587	-0.098594078	0.921460572
BRAF	279	0.019	0.035950943	0.171926587	-0.098594078	0.921460572
BRAF	89	0.051	0.035950943	0.171926587	0.087531875	0.93024875
BRAF	52	0.021	0.035950943	0.171926587	-0.086961206	0.930702348
BRAF	1013	0.021	0.035950943	0.171926587	-0.086961206	0.930702348
BRAF	306	0.022	0.035950943	0.171926587	-0.08114477	0.935326822
BRAF	295	0.024	0.035950943	0.171926587	-0.069511898	0.944582162
BRAF	207	0.047	0.035950943	0.171926587	0.064266131	0.948758321
BRAF	332	0.047	0.035950943	0.171926587	0.064266131	0.948758321
BRAF	293	0.047	0.035950943	0.171926587	0.064266131	0.948758321
BRAF	178	0.045	0.035950943	0.171926587	0.052633259	0.958024117
BRAF	176	0.027	0.035950943	0.171926587	-0.05206259	0.958478821
BRAF	312	0.028	0.035950943	0.171926587	-0.046246154	0.963114056
BRAF	222	0.029	0.035950943	0.171926587	-0.040429718	0.967750538
BRAF	345	0.042	0.035950943	0.171926587	0.035183951	0.97193306
BRAF	333	0.03	0.035950943	0.171926587	-0.034613282	0.972388111
BRAF	238	0.041	0.035950943	0.171926587	0.029367515	0.976571481
BRAF	204	0.04	0.035950943	0.171926587	0.023551079	0.981210695
BRAF	1129	0.04	0.035950943	0.171926587	0.023551079	0.981210695
BRAF	193	0.032	0.035950943	0.171926587	-0.02298041	0.9816659
BRAF	1114	0.034	0.035950943	0.171926587	-0.011347538	0.990946169
BRAF	127	0.037	0.035950943	0.171926587	0.006101771	0.995131522
BRAF	262	0.037	0.035950943	0.171926587	0.006101771	0.995131522
BRAF	294	0.035	0.035950943	0.171926587	-0.005531101	0.995586842
BRAF	199	0.035	0.035950943	0.171926587	-0.005531101	0.995586842
