gene	logFC
EPHA2	-1.975835103
LILRA2	-1.901686152
GNA14	-1.951142741
IRAK1	1.397370233
EFNA4	1.654388831
TMC7	2.517725318
CAD	1.397127353
RNF165	-2.380918785
OR51E1	2.986711449
TMEM26	-1.933905569
RNF125	-1.870848839
RCL1	-1.722140296
KLHL12	1.008836851
LRRC55	-2.715310745
FAM164C	-1.567897479
CCDC93	1.0658401
MYO18B	8.119564459
ID2B	-1.741744418
FATE1	4.55409386
TUBG1	1.166860663
PBLD	-1.966809098
COL4A2	1.964170602
FAM46A	-1.557213361
DUSP14	-1.161901292
SCRIB	1.409010837
C16orf75	2.511330114
PROK2	-2.92940302
NQO1	5.904312565
C22orf29	1.158601257
C12orf32	1.336049893
MAGEA1	9.09693056
UCK2	1.409817758
TERT	9.089954802
G6PD	2.76505454
ACAA1	-1.590429603
DOCK6	1.033447519
MSRA	-1.458012842
IGFALS	-3.321162228
FAM40B	3.149951994
MT1M	-3.862589113
TCOF1	1.218059629
FOXS1	3.085514036
COX4I2	3.158499594
GNE	-1.498296579
SOCS3	-2.333468284
MUC13	6.246191051
EHD3	-1.84016472
MCM5	1.554783837
PIAS3	1.26364351
STARD5	-1.76262447
CYP4A11	-2.317329199
MAPK8IP2	3.525105853
ETFDH	-1.479604334
JUN	-1.574549189
NR2C2AP	1.314624995
RNF157	3.047578561
MYO19	1.340922884
NDRG2	-1.512994653
SCGB3A1	-2.605966765
KDM6B	-1.168010087
CCNE2	2.651218951
CHTF18	1.971244032
WHSC1	1.343355507
CYP2C8	-2.695245795
TMEM79	1.244529234
CLEC4M	-5.300609358
DSN1	1.357348139
NPY1R	-2.371358793
CDH24	2.494557576
PTGS2	-2.50183071
XRCC2	3.101533875
C8orf33	1.404689598
LPPR2	1.495860526
XPO5	1.058802845
CDC25A	2.351361458
LAMC1	1.682468857
SERTAD1	-1.622285871
CD200	2.166636888
PTP4A3	2.571398037
DLG5	1.752355381
CYP2B6	-2.844321189
MMAA	-1.09074727
TYMS	2.215061621
TTC39A	3.651256171
C1R	-1.626189186
PSPH	1.571451101
TMEM220	-1.701700176
COL9A1	3.808747362
NR4A3	-2.251613945
PLCE1	2.256126973
PXDNL	3.699249503
FAM65C	-2.57068504
LRRC4	-1.672237536
MTHFD1L	1.894044063
BCAT2	1.973461791
TP73	3.944381993
BMP10	-4.929530217
TMEM164	1.624558717
ZNF517	1.685910402
LRRN3	-2.463808657
LOC92659	3.117191127
TIGD5	1.626733244
RAD54B	1.86832247
TSGA14	1.228758973
CCBE1	-3.378220297
CKS1B	1.420734692
ACLY	1.263933129
4-Mar	4.016071633
MAN1C1	-1.953022431
JDP2	-1.334032515
USP21	1.124477707
ARHGEF11	1.318607762
PIM1	-1.621962528
HIST1H4H	2.850513499
RASGEF1B	-1.933081198
EBF1	2.674969805
TAPT1	-1.021025404
LILRA5	-2.118186154
SLC39A14	-1.525701471
KLF11	-1.117388309
FAM72A	3.5924172
SIPA1L3	1.594722192
ELOVL1	1.02990405
PGM1	-1.228800632
GSG2	2.853826508
NCAPD2	1.738835222
KIAA0100	1.153368242
AMHR2	-3.584799708
TIMD4	-3.338293447
CUL7	1.238135331
PDGFA	2.014388515
MRAP2	4.805866041
PODXL	1.748627195
TMEM184B	1.093882724
IGF2BP1	7.131622532
HAMP	-4.03338353
