gene	logFC	entrezID
SEMA3F	1.545692041	6405
PHACTR3	-3.427258065	116154
GPM6A	-3.444307886	2823
LRAT	-3.11406689	9227
ORC1L	3.897335917	NA
CKAP2L	4.04563064	150468
ANKRD52	1.671827816	283373
ADRA2B	-2.309482028	151
DEPDC1	4.421202135	55635
C12orf48	2.928629198	NA
SGOL2	2.854651779	NA
JMJD5	-2.618640078	NA
ZIC2	6.531328436	7546
TRIB1	-1.888984588	10221
ESM1	3.962721791	11082
FEN1	1.714348037	2237
C15orf42	4.061801289	NA
FAM83D	2.858706639	81610
KIAA0101	3.234680648	9768
THY1	2.815177769	7070
STIL	2.952097744	6491
FANCD2	3.02437182	2177
ID2	-1.577962007	3398
MSTO1	1.795877441	55154
POLQ	3.875930515	10721
KLHL15	-1.43754987	80311
PBK	4.116052951	55872
CCDC99	2.218327275	NA
NOX4	3.217787224	50507
FOS	-2.974328973	2353
MARCO	-4.864271282	8685
RASD2	2.832966784	23551
TK1	2.701339646	7083
DSCC1	2.364208254	79075
KIF15	4.53981834	56992
CENPH	2.343620427	64946
PLXDC1	3.130158258	57125
TOMM40L	1.862158872	84134
CELSR3	3.624100285	1951
TARBP1	1.712678177	6894
MAP2K1	-1.250547325	5604
SHCBP1	4.160725081	79801
MDK	3.793122836	4192
SGOL1	3.77376381	NA
MCM2	2.83355507	4171
KIF19	-2.886879488	124602
MCM6	2.056713602	4175
ANKRD55	-3.127036156	79722
FLVCR1	2.630449772	28982
PTH1R	-3.028506979	5745
SPRY2	-1.573408059	10253
CENPW	2.767308658	387103
RASL12	2.307642556	51285
PCNXL3	1.19682814	NA
OLFML2A	2.660063635	169611
CENPK	3.568650805	64105
RNASEH2A	1.987618997	10535
CAP2	2.395650723	10486
GPC3	5.993891605	2719
KIF11	2.626445118	3832
TGM3	7.234134702	7053
FOSB	-3.49964568	2354
NFIL3	-1.627592722	4783
CCNE1	4.393775023	898
LOC222699	3.016406375	NA
RFC4	1.839635595	5984
PLSCR4	-1.735029998	57088
NUSAP1	2.59967538	51203
PYGO2	1.212244193	90780
ACADS	-1.850617204	35
NFKBIL2	2.401759948	NA
C8orf4	-2.223322412	56892
FAM72B	2.958543561	653820
HDAC11	1.918453608	79885
OIP5	3.534960689	11339
APLN	3.736287017	8862
C5orf34	2.903071788	375444
NOTCH3	2.468597808	4854
RND3	-2.165716105	390
SEMA5B	2.591072161	54437
ORC6L	3.335059968	NA
WDR76	2.868204024	79968
PIGU	1.309386716	128869
MCM10	3.965748083	55388
FCN2	-4.721058062	2220
CDCA2	3.954267277	157313
C6orf145	-1.468971953	NA
NXPH4	6.298739134	11247
CBFA2T3	-2.189916049	863
STMN1	2.245725015	3925
CLEC4G	-4.985047489	339390
IL1RAP	-2.117467269	3556
SMG5	1.52336863	23381
DEPDC1B	4.055309996	55789
RAD51	2.9323763	5888
MLF1IP	2.67226031	NA
RAD51AP1	3.053644077	10635
TMEM106C	1.643085174	79022
CEP250	1.224535285	11190
ETS2	-1.702740805	2114
TNFRSF4	2.820742851	7293
BRP44L	-1.576015933	NA
LCAT	-2.88489289	3931
ZFP1	-1.576252844	162239
SFTA1P	6.13129413	207107
CETP	-2.678963924	1071
FAM54A	3.66552	NA
COL6A6	-3.639906894	131873
ZFP41	1.912362998	286128
ENAH	1.993941187	55740
CDKN2BAS	4.122015212	NA
CHAF1B	3.288856305	8208
CDKN2C	2.550759081	1031
PAMR1	-2.145095518	25891
FRMD4B	-1.380658119	23150
CEP55	3.441326491	55165
ZNF295	-1.480143466	NA
PHLDA1	-2.337027212	22822
INMT	-2.669839031	11185
MMP11	3.67381624	4320
MESP2	3.776086018	145873
TUBE1	-1.733533132	51175
TRIM45	2.488174029	80263
STAB2	-4.754228248	55576
DACH1	-2.341664347	1602
BCO2	-3.126907435	83875
SMARCA4	1.093726404	6597
PAQR4	2.327244032	124222
DIRAS3	-3.056787655	9077
NT5DC2	2.79725287	64943
MCM3	1.621503339	4172
LDLR	-1.584612942	3949
JRK	1.837682507	8629
NDUFA4L2	3.318733405	56901
TAF6	1.074968634	6878
MT1F	-3.854991766	4494
LPA	-3.19527348	4018
LAMA4	1.931966572	3910
ROBO1	3.273067351	6091
DDX39	1.434372205	NA
ATF3	-1.87039034	467
CBX2	3.132524996	84733
EGR1	-2.360240929	1958
IGFBP3	-1.966754022	3486
GADD45B	-2.111436221	4616
CD4	-1.714234917	920
FAM72D	3.578104912	728833
MSH2	1.567011463	4436
KCNN2	-3.479713864	3781
SLC38A2	-1.601878625	54407
RNF152	-1.886215673	220441
CHAF1A	1.702841323	10036
E2F7	4.080923688	144455
TBXA2R	-1.759914195	6915
C21orf91	-1.516989724	54149
WDHD1	2.819465878	11169
HIST2H4A	2.374174413	8370
TTC13	1.349820191	79573
HELLS	3.172207567	3070
PIGC	1.126180519	5279
MTBP	2.607062692	27085
GPRIN1	3.047709181	114787
BAIAP2L2	4.087057517	80115
EHMT2	1.338390097	10919
NDST3	-4.343746686	9348
EBF2	5.395749017	64641
PLK3	-1.865238021	1263
RFX5	1.596305367	5993
KIAA1841	1.833373867	84542
LRRC14	1.363375577	9684
GSTZ1	-2.049438224	2954
KNTC1	2.612340375	9735
CCDC64	2.853627909	NA
PEA15	1.271560449	8682
COL4A1	2.084652482	1282
C21orf58	2.589889807	54058
PKN3	1.949326652	29941
RUSC1	1.489860357	23623
PPAP2B	-1.553929445	NA
PVALB	-3.832730681	5816
ABCC10	1.440677166	89845
WDR67	1.779496988	NA
KIAA1524	3.166903594	57650
FOXK1	1.37496908	221937
OTUB2	1.920755036	78990
NRBF2	-1.087063355	29982
GBA	1.44210555	2629
AADAT	-2.592487687	51166
PLK4	2.88901234	10733
B4GALNT1	4.596602556	2583
KPNA2	1.590190828	3838
PRIM2	1.550819493	5558
HOXA13	7.087436499	3209
TPX2	2.351829753	22974
XRCC3	1.78052864	7517
ADCY6	1.323230268	112
CENPI	4.372441454	2491
EPS8L3	6.163970787	79574
BCAN	5.782670556	63827
IGF2BP3	4.345328405	10643
POLD1	1.352267876	5424
IL1RN	-2.32660616	3557
POLA2	1.549841337	23649
CSPG4	2.456615319	1464
DUSP6	-1.641007496	1848
HOXD9	4.850692229	3235
SIGLEC7	-1.980099633	27036
IGSF3	3.170686602	3321
FITM1	-2.57772234	161247
TMEM120B	1.230868983	144404
UBAP2L	1.142494694	9898
PSMC3IP	3.456616669	29893
RDM1	4.634153583	201299
BLM	3.05157069	641
SCAMP3	1.315406419	10067
LOC388152	2.247927564	NA
CCDC34	1.977643561	91057
GJC1	2.40046113	10052
TMEM201	1.373014453	199953
TMEM206	1.564240742	55248
PANK1	-1.62950583	53354
OTX1	5.36727876	5013
C21orf56	3.227379331	NA
PYGB	1.558487016	5834
RHOB	-1.658759704	388
HPS5	-1.550520861	11234
KIF24	2.257297122	347240
FXN	-1.292957547	2395
CBFA2T2	1.284663186	9139
MCL1	-1.230954558	4170
APOF	-3.074959754	319
DNAJC6	2.996280843	9829
SLC7A11	4.776816571	23657
FLJ36031	-1.918194063	NA
DUSP9	4.274431946	1852
PIF1	2.764456715	80119
CDC7	2.416833273	8317
ADAM15	1.486710975	8751
YEATS2	1.393544944	55689
IQCE	1.496864209	23288
VMO1	-1.829664894	284013
GHR	-2.301593498	2690
RNFT2	2.878114716	84900
CYR61	-2.007178348	3491
UBE2S	1.988736212	27338
IER2	-1.316064985	9592
SLCO1C1	4.377911773	53919
KIAA1522	1.754729574	57648
NAT2	-3.12252339	10
ITGA6	1.683252618	3655
MAPT	3.256272008	4137
NSMCE2	1.577550828	286053
GINS3	1.747127061	64785
RIPK4	-1.488408393	54101
C19orf61	1.246236238	NA
CSMD2	4.114442763	114784
FANCG	1.588917579	2189
ERLIN1	-1.327670186	10613
MCM7	1.417119077	4176
CLSPN	3.989236779	63967
FSTL4	5.295109276	23105
CTHRC1	4.259997148	115908
C1orf9	1.325741988	NA
TTL	1.036160887	150465
EPHA2	-1.975835103	1969
LILRA2	-1.901686152	11027
GNA14	-1.951142741	9630
IRAK1	1.397370233	3654
EFNA4	1.654388831	1945
TMC7	2.517725318	79905
CAD	1.397127353	790
RNF165	-2.380918785	494470
OR51E1	2.986711449	143503
TMEM26	-1.933905569	219623
RNF125	-1.870848839	54941
RCL1	-1.722140296	10171
KLHL12	1.008836851	59349
LRRC55	-2.715310745	219527
FAM164C	-1.567897479	NA
CCDC93	1.0658401	54520
MYO18B	8.119564459	84700
ID2B	-1.741744418	84099
FATE1	4.55409386	89885
TUBG1	1.166860663	7283
PBLD	-1.966809098	64081
COL4A2	1.964170602	1284
FAM46A	-1.557213361	55603
DUSP14	-1.161901292	11072
SCRIB	1.409010837	23513
C16orf75	2.511330114	NA
PROK2	-2.92940302	60675
NQO1	5.904312565	1728
C22orf29	1.158601257	79680
C12orf32	1.336049893	NA
MAGEA1	9.09693056	4100
UCK2	1.409817758	7371
TERT	9.089954802	7015
G6PD	2.76505454	2539
ACAA1	-1.590429603	30
DOCK6	1.033447519	57572
MSRA	-1.458012842	4482
IGFALS	-3.321162228	3483
FAM40B	3.149951994	NA
MT1M	-3.862589113	4499
TCOF1	1.218059629	6949
FOXS1	3.085514036	2307
COX4I2	3.158499594	84701
GNE	-1.498296579	10020
SOCS3	-2.333468284	9021
MUC13	6.246191051	56667
EHD3	-1.84016472	30845
MCM5	1.554783837	4174
PIAS3	1.26364351	10401
STARD5	-1.76262447	80765
CYP4A11	-2.317329199	1579
MAPK8IP2	3.525105853	23542
ETFDH	-1.479604334	2110
JUN	-1.574549189	3725
NR2C2AP	1.314624995	126382
RNF157	3.047578561	114804
MYO19	1.340922884	80179
NDRG2	-1.512994653	57447
SCGB3A1	-2.605966765	92304
KDM6B	-1.168010087	23135
CCNE2	2.651218951	9134
CHTF18	1.971244032	63922
WHSC1	1.343355507	7468
CYP2C8	-2.695245795	1558
TMEM79	1.244529234	84283
CLEC4M	-5.300609358	10332
DSN1	1.357348139	79980
NPY1R	-2.371358793	4886
CDH24	2.494557576	64403
PTGS2	-2.50183071	5743
XRCC2	3.101533875	7516
C8orf33	1.404689598	65265
LPPR2	1.495860526	NA
XPO5	1.058802845	57510
CDC25A	2.351361458	993
LAMC1	1.682468857	3915
SERTAD1	-1.622285871	29950
CD200	2.166636888	4345
PTP4A3	2.571398037	11156
DLG5	1.752355381	9231
CYP2B6	-2.844321189	1555
MMAA	-1.09074727	166785
TYMS	2.215061621	7298
TTC39A	3.651256171	22996
C1R	-1.626189186	715
PSPH	1.571451101	5723
TMEM220	-1.701700176	388335
COL9A1	3.808747362	1297
NR4A3	-2.251613945	8013
PLCE1	2.256126973	51196
PXDNL	3.699249503	137902
FAM65C	-2.57068504	140876
LRRC4	-1.672237536	64101
MTHFD1L	1.894044063	25902
BCAT2	1.973461791	587
TP73	3.944381993	7161
BMP10	-4.929530217	27302
TMEM164	1.624558717	84187
ZNF517	1.685910402	340385
LRRN3	-2.463808657	54674
LOC92659	3.117191127	NA
TIGD5	1.626733244	84948
RAD54B	1.86832247	25788
TSGA14	1.228758973	NA
CCBE1	-3.378220297	147372
CKS1B	1.420734692	1163
ACLY	1.263933129	47
4-Mar	4.016071633	NA
MAN1C1	-1.953022431	57134
JDP2	-1.334032515	122953
USP21	1.124477707	27005
ARHGEF11	1.318607762	9826
PIM1	-1.621962528	5292
HIST1H4H	2.850513499	8365
RASGEF1B	-1.933081198	153020
EBF1	2.674969805	1879
TAPT1	-1.021025404	202018
LILRA5	-2.118186154	353514
SLC39A14	-1.525701471	23516
KLF11	-1.117388309	8462
FAM72A	3.5924172	729533
SIPA1L3	1.594722192	23094
ELOVL1	1.02990405	64834
PGM1	-1.228800632	5236
GSG2	2.853826508	83903
NCAPD2	1.738835222	9918
KIAA0100	1.153368242	9703
AMHR2	-3.584799708	269
TIMD4	-3.338293447	91937
CUL7	1.238135331	9820
PDGFA	2.014388515	5154
MRAP2	4.805866041	112609
PODXL	1.748627195	5420
TMEM184B	1.093882724	25829
IGF2BP1	7.131622532	10642
HAMP	-4.03338353	57817
